PERIODO_INICIO;PERIODO_FINAL;SALARIO MINIMO (R$);;;
01/05/2004;30/04/2005;260;;;
01/05/2005;31/03/2005;300;;;
01/04/2006;31/03/2006;350;;;
01/04/2007;28/02/2007;380;;;
01/03/2008;30/01/2008;415;;;
01/02/2009;31/12/2009;465;;;
01/01/2010;31/12/2010;510;;;
01/01/2011;31/12/2011;545;;;
01/01/2012;31/12/2012;622;;;
01/01/2013;31/12/2013;678;;;
01/01/2014;31/12/2014;724;;;
01/01/2015;31/12/2015;788;;;
01/01/2016;31/12/2016;880;;;
01/01/2017;31/12/2017;937;;;
01/01/2018;31/12/2018;954;;;
01/01/2019;31/12/2019;998;;;
01/01/2020;31/12/2020;1045;;;
01/01/2021;31/12/2021;1100;;;
