sigla_uf,ano,pib,regiao
RO,2002,7467630,NORTE
AC,2002,2971301,NORTE
AM,2002,22093338,NORTE
RR,2002,2392033,NORTE
PA,2002,26482159,NORTE
AP,2002,3173343,NORTE
TO,2002,5322563,NORTE
MA,2002,15924003,NORDESTE
PI,2002,7122635,NORDESTE
CE,2002,28718840,NORDESTE
RN,2002,13566803,NORDESTE
PB,2002,12747021,NORDESTE
PE,2002,36056032,NORDESTE
AL,2002,11536853,NORDESTE
SE,2002,10332494,NORDESTE
BA,2002,58842976,NORDESTE
MG,2002,124071066,SUDESTE
ES,2002,27048997,SUDESTE
RJ,2002,184310915,SUDESTE
SP,2002,518878815,SUDESTE
PR,2002,88235715,SUL
SC,2002,54481893,SUL
RS,2002,98847211,SUL
MS,2002,16440424,CENTRO OESTE
MT,2002,19190653,CENTRO OESTE
GO,2002,38629365,CENTRO OESTE
DF,2002,53902200,NORDESTE
RO,2003,9425010,NORTE
AC,2003,3377234,NORTE
AM,2003,25862134,NORTE
RR,2003,2594081,NORTE
PA,2003,30270152,NORTE
AP,2003,3413195,NORTE
TO,2003,6612339,NORTE
MA,2003,19502900,NORDESTE
PI,2003,8414901,NORDESTE
CE,2003,32687418,NORDESTE
RN,2003,14865441,NORDESTE
PB,2003,14737920,NORDESTE
PE,2003,38815845,NORDESTE
AL,2003,12624030,NORDESTE
SE,2003,11749574,NORDESTE
BA,2003,67174227,NORDESTE
MG,2003,144189094,SUDESTE
ES,2003,31519106,SUDESTE
RJ,2003,202640789,SUDESTE
SP,2003,591454032,SUDESTE
PR,2003,110039414,SUL
SC,2003,64098475,SUL
RS,2003,119325399,SUL
MS,2003,21846566,CENTRO OESTE
MT,2003,26697097,CENTRO OESTE
GO,2003,45557889,CENTRO OESTE
DF,2003,58456124,NORDESTE
RO,2004,11004641,NORTE
AC,2004,3784003,NORTE
AM,2004,31090696,NORTE
RR,2004,2822757,NORTE
PA,2004,37272726,NORTE
AP,2004,3824740,NORTE
TO,2004,7251580,NORTE
MA,2004,22127132,NORDESTE
PI,2004,9406461,NORDESTE
CE,2004,36890816,NORDESTE
RN,2004,17252398,NORDESTE
PB,2004,15757832,NORDESTE
PE,2004,44982684,NORDESTE
AL,2004,14044907,NORDESTE
SE,2004,13336258,NORDESTE
BA,2004,77931725,NORDESTE
MG,2004,171870934,SUDESTE
ES,2004,39732638,SUDESTE
RJ,2004,241206738,SUDESTE
SP,2004,652955558,SUDESTE
PR,2004,123451530,SUL
SC,2004,73618966,SUL
RS,2004,131192206,SUL
MS,2004,23372308,CENTRO OESTE
MT,2004,33388670,CENTRO OESTE
GO,2004,51103815,CENTRO OESTE
DF,2004,67076505,NORDESTE
RO,2005,12511821,NORTE
AC,2005,4300581,NORTE
AM,2005,33980877,NORTE
RR,2005,3193430,NORTE
PA,2005,40522893,NORTE
AP,2005,4306410,NORTE
TO,2005,7707340,NORTE
MA,2005,25104209,NORDESTE
PI,2005,10711834,NORDESTE
CE,2005,41059459,NORDESTE
RN,2005,19966918,NORDESTE
PB,2005,17557226,NORDESTE
PE,2005,50240325,NORDESTE
