Unidade da Federação;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Rondônia;7467630;9425010;11004641;12511821;13054713;14438376;17285542;19725010;23907887;27574714;30112720;31121413;34030982;36563333;39460359;43516147;44913978;47091336
Acre;2971301;3377234;3784003;4300581;4661807;5458172;6410255;7407821;8342356;8949434;10137925;11473930;13458698;13622802;13754240;14272941;15331123;15630017
Amazonas;22093338;25862134;31090696;33980877;39933213;43479773;48115265;50559840;60877123;70734401;72242701;83051233;86668644;86568184;89039782;93240191;100109235;108181091
Roraima;2392033;2594081;2822757;3193430;3802452;4203302;4841862;5671975;6639150;7303719;7711467;9010725;9744122;10242905;11013237;12104709;13369988;14292227
Pará;26482159;30270152;37272726;40522893;45983027;51846876;60956978;61665096;82684518;98710736;107080881;121224847;124584945;130899505;138107514;155232404;161349602;178376984
Amapá;3173343;3413195;3824740;4306410;5280822;6012523;6950413;7490656;8237795;9409228;11130868;12763486;13400284;13861293;14342135;15481908;16795207;17496661
Tocantins;5322563;6612339;7251580;7707340;8655613;10192844;12116393;13689804;16404816;18345688;20684430;23796656;26189323;28930291;31584816;34108132;35666183;39355941
Maranhão;15924003;19502900;22127132;25104209;29710643;30730866;37932402;40994571;46309633;52143535;60490109;67694845;76842028;78475994;85310038;89542757;98179496;97339938
Piauí;7122635;8414901;9406461;10711834;13360478;13736085;16203340;18946449;22269149;25941362;28637685;31283593;37723497;39149686;41416937;45365541;50378418;52780785
Ceará;28718840;32687418;36890816;41059459;46500321;50818749;60415574;67199958;79336299;89695828;96973753;109036556;126054472;130629849;138422521;147921534;155903825;163575327
Rio Grande do Norte;13566803;14865441;17252398;19966918;22890124;26318259;28898860;30941054;36184502;40992925;46412208;51518457;54022584;57250867;59677389;64305995;66969562;71336780
Paraíba;12747021;14737920;15757832;17557226;20838016;22909811;26889573;30230406;33522492;37109137;42488349;46377299;52936483;56141890;59104781;62396776;64373595;67986074
Pernambuco;36056032;38815845;44982684;50240325;55485293;62459325;70413939;79760958;97189760;110161559;127989043;141150252;155142648;156963668;167345031;181609501;186351975;197853378
Alagoas;11536853;12624030;14044907;15484521;17395671;19871266;22262295;24182388;27133038;31657321;34650397;37282529;40974994;46367211;49468741;52851067;54413047;58963729
Sergipe;10332494;11749574;13336258;14430118;16419798;18218450;21418378;21707243;26404893;29108272;32853181;35335986;37472432;38556530;38877438;40711486;42017981;44689483
Bahia;58842976;67174227;77931725;88291883;95347802;109329528;121667455;137942481;154419547;166602817;182572530;204844274;223929966;245043690;258738970;268724090;286239541;293240504
Minas Gerais;124071066;144189094;171870934;188364436;212659547;240355239;278607619;287443848;351123418;400124687;442282830;488004903;516633984;519331213;544810468;576375545;614875820;651872684
Espírito Santo;27048997;31519106;39732638;47020588;53463868;60658395;72091158;69215361;85310285;105976222;116850581;117274347;128783781;120365980;109264423;113399937;137020055;137345595
Rio de Janeiro;184310915;202640789;241206738;269830061;299738183;323698286;378285800;391650854;449858101;512767905;574884973;628226069;671076844;659138952;640401206;671605668;758859047;779927917
São Paulo;518878815;591454032;652955558;743042944;824529299;935653180;1042510168;1127093826;1294695988;1436672709;1559033444;1715238417;1858196055;1939901907;2038757382;2120761635;2210561949;2348338000
Paraná;88235715;110039414;123451530;127464507;137648311;165208891;185683859;196675612;225205255;257122269;285620202;333481152;348084191;376962822;401814164;421497870;440029403;466377036
Santa Catarina;54481893;64098475;73618966;81549244;91063449;103728092;121477258;129098535;153726007;174068322;191794652;214512242;242553371;249079642;256754669;277270237;298227090;323263857
Rio Grande do Sul;98847211;119325399;131192206;136362769;147622599;168009752;190229822;204344940;241249164;265056416;287587019;332292726;357816424;381992601;408789528;423270047;457293958;482464177
Mato Grosso do Sul;16440424;21846566;23372308;23725258;26667894;30084765;36219263;39517742;47270656;55133162;62013201;69203201;78950133;83082555;91892285;96396434;106969142;106943246
Mato Grosso;19190653;26697097;33388670;34257055;30700165;38027578;49202505;52693417;56600955;69153957;79665691;89212919;101234520;107418319;123880296;126845898;137442853;142122028
Goiás;38629365;45557889;51103815;53865113;61375403;71410568;82417564;92865743;106770109;121296721;138757825;151300175;165015318;173632450;181759604;191948301;195681724;208672492
Distrito Federal;53902200;58456124;67076505;75732681;84661406;93404001;110299557;124323753;144174102;154568954;164101336;175906726;197432059;215612863;235540045;244722249;254817205;273613711
