Semana-Ano;PRECO GASOLINA;PRECO PETROLEO;MEDIA
1-2005;2.22;42.07;2.4632166666666664
1-2006;2.467;61.7175;2.18036
1-2007;2.502;55.63;2.06465
1-2008;2.459;96.5025;1.74342
1-2009;2.458;37.035;2.33492
1-2010;2.588;79.818;1.76694
1-2011;2.593;94.72200000000001;1.597425
1-2012;2.704;112.51;1.8891300000000002
1-2013;2.7960000000000003;112.3475;2.0148333333333333
1-2014;2.997;108.7325;2.31343
1-2015;2.965;56.0275;2.76824
1-2016;3.61;34.194;3.3823300000000005
1-2017;3.679;55.1275;3.15686
1-2018;4.125;67.81;3.3999099999999998
1-2019;4.115;54.31;3.8306916666666666
1-2020;4.336;67.994;4.5603299999999996
1-2021;4.301;53.30799999999999;5.28351
10-2005;2.29;53.092;2.2636666666666665
10-2006;2.585;59.496;2.166425
10-2007;2.4530000000000003;60.348;1.92148
10-2008;2.44;101.902;1.66173
10-2009;2.394;43.864;2.117225
10-2010;2.495;79.364;1.7177
10-2011;2.623;114.446;1.7292666666666667
10-2012;2.687;126.624;2.00257
10-2013;2.904;109.984;2.1679583333333334
10-2014;2.992;109.14200000000001;2.27029
10-2015;3.298;60.117999999999995;3.071025
10-2016;3.672;39.296;3.2451000000000003
10-2017;3.585;52.784000000000006;3.2181125
10-2018;4.109;65.12;3.8345
10-2019;4.134;64.734;3.971858333333333
10-2020;4.292;50.702;4.962691666666667
11-2005;2.332;54.852;2.7446600000000005
11-2006;2.5540000000000003;62.422000000000004;2.12392
11-2007;2.4090000000000003;60.866;2.03534
11-2008;2.434;107.68800000000002;2.00982
11-2009;2.394;43.980000000000004;1.90855
11-2010;2.462;79.054;1.77331
11-2011;2.653;112.66600000000001;1.67083
11-2012;2.7;126.22200000000001;1.86643
11-2013;2.906;108.41;2.0693375
11-2014;2.992;108.01199999999999;2.44909
11-2015;3.289;56.508;3.6482
11-2016;3.699;38.496;3.6856999999999998
11-2017;3.57;50.294;3.1328899999999997
11-2018;4.106;64.138;3.38323
11-2019;4.149;65.714;3.9242375000000003
11-2020;4.25;34.098;5.2423625000000005
12-2005;2.332;53.7625;2.73448
12-2006;2.53;61.605999999999995;2.15617
12-2007;2.391;61.089999999999996;2.06911
12-2008;2.414;103.0475;1.7218900000000001
12-2009;2.415;46.434000000000005;2.26771
12-2010;2.4530000000000003;78.382;1.80003
12-2011;2.6710000000000003;115.41199999999999;1.66083
12-2012;2.7;124.346;1.81976
12-2013;2.8960000000000004;107.328;1.99274
