Renda - desigualdade - coeficiente de Gini
Sigla;Código;Estado;2014;
AC;12;Acre;0,5423857428;
AL;27;Alagoas;0,5010979651;
AM;13;Amazonas;0,5297788536;
AP;16;Amapá;0,4702888405;
BA;29;Bahia;0,5273657242;
CE;23;Ceará;0,5057754242;
DF;53;Distrito Federal;0,5824243785;
ES;32;Espírito Santo;0,4920562326;
GO;52;Goiás;0,449832277;
MA;21;Maranhão;0,5292959872;
MG;31;Minas Gerais;0,4847963437;
MS;50;Mato Grosso do Sul;0,4867399713;
MT;51;Mato Grosso;0,4596914381;
PA;15;Pará;0,4859493691;
PB;25;Paraíba;0,5132489956;
PE;26;Pernambuco;0,5069821415;
PI;22;Piauí;0,5014495331;
PR;41;Paraná;0,4529999707;
RJ;33;Rio de Janeiro;0,5248740588;
RN;24;Rio Grande do Norte;0,4962270063;
RO;11;Rondônia;0,4704382504;
RR;14;Roraima;0,5023776262;
RS;43;Rio Grande do Sul;0,4758592784;
SC;42;Santa Catarina;0,4212173683;
SE;28;Sergipe;0,4847592765;
SP;35;São Paulo;0,4933970443;
TO;17;Tocantins;0,5146211775;
