ano,sigla_uf,populacao,regiao
1991,RO,1133265,NORTE
1992,RO,1190739,NORTE
1993,RO,1241693,NORTE
1994,RO,1291214,NORTE
1995,RO,1339507,NORTE
1996,RO,1229306,NORTE
1997,RO,1255522,NORTE
1998,RO,1276173,NORTE
1999,RO,1296856,NORTE
2000,RO,1380952,NORTE
2001,RO,1407886,NORTE
2002,RO,1431777,NORTE
2003,RO,1455907,NORTE
2004,RO,1562085,NORTE
2005,RO,1534594,NORTE
2006,RO,1562417,NORTE
2007,RO,1453756,NORTE
2008,RO,1493566,NORTE
2009,RO,1503928,NORTE
2010,RO,1562409,NORTE
2011,RO,1576455,NORTE
2012,RO,1590011,NORTE
2013,RO,1728214,NORTE
2014,RO,1748531,NORTE
2015,RO,1768204,NORTE
2016,RO,1787279,NORTE
2017,RO,1805788,NORTE
2018,RO,1757589,NORTE
2019,RO,1777225,NORTE
2020,RO,1796460,NORTE
2021,RO,1815278,NORTE
1992,AC,428006,NORTE
1993,AC,437495,NORTE
1994,AC,446480,NORTE
1995,AC,455242,NORTE
1996,AC,483593,NORTE
1997,AC,500185,NORTE
1998,AC,514050,NORTE
1999,AC,527937,NORTE
2000,AC,557882,NORTE
2001,AC,574355,NORTE
2002,AC,586942,NORTE
2003,AC,600595,NORTE
2004,AC,630328,NORTE
2005,AC,669736,NORTE
2006,AC,686652,NORTE
2007,AC,655385,NORTE
2008,AC,680073,NORTE
2009,AC,691132,NORTE
2010,AC,733559,NORTE
2011,AC,746386,NORTE
2012,AC,758786,NORTE
2013,AC,776463,NORTE
2014,AC,790101,NORTE
2015,AC,803513,NORTE
2016,AC,816687,NORTE
2017,AC,829619,NORTE
2018,AC,869265,NORTE
2019,AC,881935,NORTE
2020,AC,894470,NORTE
2021,AC,906876,NORTE
1991,AC,417102,NORTE
1991,AM,2102766,NORTE
1992,AM,2165852,NORTE
1993,AM,2217600,NORTE
1994,AM,2269555,NORTE
1995,AM,2320221,NORTE
1996,AM,2389279,NORTE
1997,AM,2460602,NORTE
1998,AM,2520684,NORTE
1999,AM,2580860,NORTE
2000,AM,2817253,NORTE
2001,AM,2900240,NORTE
2002,AM,2961801,NORTE
2003,AM,3031068,NORTE
2004,AM,3138726,NORTE
2005,AM,3232330,NORTE
2006,AM,3311026,NORTE
2007,AM,3221940,NORTE
2008,AM,3341096,NORTE
2009,AM,3393369,NORTE
2010,AM,3483985,NORTE
2011,AM,3538387,NORTE
2012,AM,3590985,NORTE
2013,AM,3807921,NORTE
2014,AM,3873743,NORTE
2015,AM,3938336,NORTE
2016,AM,4001667,NORTE
2017,AM,4063614,NORTE
2018,AM,4080611,NORTE
2019,AM,4144597,NORTE
2020,AM,4207714,NORTE
2021,AM,4269995,NORTE
1996,RR,247131,NORTE
1997,RR,254499,NORTE
1998,RR,260705,NORTE
1999,RR,266922,NORTE
2000,RR,324397,NORTE
2001,RR,337237,NORTE
2002,RR,346871,NORTE
2003,RR,357302,NORTE
2004,RR,381896,NORTE
2005,RR,391317,NORTE
2006,RR,403344,NORTE
2007,RR,395725,NORTE
2008,RR,412783,NORTE
2009,RR,421499,NORTE
2010,RR,450479,NORTE
2011,RR,460165,NORTE
2012,RR,469524,NORTE
2013,RR,488072,NORTE
2014,RR,496936,NORTE
2015,RR,505665,NORTE
2016,RR,514229,NORTE
2017,RR,522636,NORTE
2018,RR,576568,NORTE
2019,RR,605761,NORTE
2020,RR,631181,NORTE
2021,RR,652713,NORTE
1991,RR,217583,NORTE
1992,RR,228749,NORTE
1993,RR,241099,NORTE
1994,RR,251783,NORTE
1995,RR,262201,NORTE
1991,PA,4949222,NORTE
1992,PA,5328133,NORTE
1993,PA,5212812,NORTE
1994,PA,5332187,NORTE
1995,PA,5448598,NORTE
1996,PA,5510849,NORTE
1997,PA,5650681,NORTE
1998,PA,5768476,NORTE
1999,PA,5886454,NORTE
2000,PA,6195965,NORTE
2001,PA,6341736,NORTE
2002,PA,6453683,NORTE
2003,PA,6574993,NORTE
2004,PA,6850181,NORTE
2005,PA,6970586,NORTE
2006,PA,7110465,NORTE
2007,PA,7090378,NORTE
2008,PA,7321493,NORTE
2009,PA,7397238,NORTE
2010,PA,7581051,NORTE
2011,PA,7688593,NORTE
2012,PA,7792561,NORTE
2013,PA,7969654,NORTE
2014,PA,8073924,NORTE
2015,PA,8175113,NORTE
2016,PA,8272724,NORTE
2017,PA,8366628,NORTE
2018,PA,8513497,NORTE
2019,PA,8602865,NORTE
2020,PA,8690745,NORTE
2021,PA,8777124,NORTE
1992,AP,299305,NORTE
1993,AP,308787,NORTE
1994,AP,317597,NORTE
1995,AP,326188,NORTE
1996,AP,379459,NORTE
1997,AP,401916,NORTE
1998,AP,420834,NORTE
