,UF,ANO,RENDA
0,Acre,2004-06-15,371
1,Alagoas,2004-06-15,235
2,Amapá,2004-06-15,351
3,Amazonas,2004-06-15,343
4,Bahia,2004-06-15,275
5,Ceará,2004-06-15,272
6,Distrito Federal,2004-06-15,907
7,Espírito Santo,2004-06-15,475
8,Goiás,2004-06-15,476
9,Maranhão,2004-06-15,249
10,Mato Grosso,2004-06-15,488
11,Mato Grosso do Sul,2004-06-15,463
12,Minas Gerais,2004-06-15,436
13,Pará,2004-06-15,329
14,Paraíba,2004-06-15,296
15,Paraná,2004-06-15,571
16,Pernambuco,2004-06-15,306
17,Piauí,2004-06-15,261
18,Rio de Janeiro,2004-06-15,621
19,Rio Grande do Norte,2004-06-15,306
20,Rio Grande do Sul,2004-06-15,589
21,Rondônia,2004-06-15,408
22,Roraima,2004-06-15,291
23,Santa Catarina,2004-06-15,577
24,São Paulo,2004-06-15,618
25,Sergipe,2004-06-15,343
26,Tocantins,2004-06-15,352
27,Acre,2005-06-15,395
28,Alagoas,2005-06-15,262
29,Amapá,2005-06-15,456
30,Amazonas,2005-06-15,389
31,Bahia,2005-06-15,312
32,Ceará,2005-06-15,303
33,Distrito Federal,2005-06-15,1029
34,Espírito Santo,2005-06-15,533
35,Goiás,2005-06-15,525
36,Maranhão,2005-06-15,236
37,Mato Grosso,2005-06-15,494
38,Mato Grosso do Sul,2005-06-15,516
39,Minas Gerais,2005-06-15,485
40,Pará,2005-06-15,340
41,Paraíba,2005-06-15,340
42,Paraná,2005-06-15,609
43,Pernambuco,2005-06-15,327
44,Piauí,2005-06-15,288
45,Rio de Janeiro,2005-06-15,668
46,Rio Grande do Norte,2005-06-15,382
47,Rio Grande do Sul,2005-06-15,629
48,Rondônia,2005-06-15,459
49,Roraima,2005-06-15,338
50,Santa Catarina,2005-06-15,669
51,São Paulo,2005-06-15,715
52,Sergipe,2005-06-15,347
53,Tocantins,2005-06-15,368
54,Acre,2006-06-15,476
55,Alagoas,2006-06-15,346
56,Amapá,2006-06-15,438
57,Amazonas,2006-06-15,408
58,Bahia,2006-06-15,360
59,Ceará,2006-06-15,331
60,Distrito Federal,2006-06-15,1156
61,Espírito Santo,2006-06-15,572
62,Goiás,2006-06-15,548
63,Maranhão,2006-06-15,325
64,Mato Grosso,2006-06-15,553
65,Mato Grosso do Sul,2006-06-15,593
66,Minas Gerais,2006-06-15,554
67,Pará,2006-06-15,373
68,Paraíba,2006-06-15,378
69,Paraná,2006-06-15,658
70,Pernambuco,2006-06-15,371
71,Piauí,2006-06-15,345
72,Rio de Janeiro,2006-06-15,759
73,Rio Grande do Norte,2006-06-15,398
74,Rio Grande do Sul,2006-06-15,690
75,Rondônia,2006-06-15,511
76,Roraima,2006-06-15,476
77,Santa Catarina,2006-06-15,756
78,São Paulo,2006-06-15,779
79,Sergipe,2006-06-15,394
80,Tocantins,2006-06-15,415
81,Acre,2007-06-15,520
82,Alagoas,2007-06-15,380
83,Amapá,2007-06-15,491
84,Amazonas,2007-06-15,430
85,Bahia,2007-06-15,383
86,Ceará,2007-06-15,359
87,Distrito Federal,2007-06-15,1338
88,Espírito Santo,2007-06-15,621
89,Goiás,2007-06-15,635
90,Maranhão,2007-06-15,335
91,Mato Grosso,2007-06-15,568
92,Mato Grosso do Sul,2007-06-15,712
93,Minas Gerais,2007-06-15,589
94,Pará,2007-06-15,426
95,Paraíba,2007-06-15,419
96,Paraná,2007-06-15,762
97,Pernambuco,2007-06-15,373
98,Piauí,2007-06-15,392
99,Rio de Janeiro,2007-06-15,774
100,Rio Grande do Norte,2007-06-15,439
101,Rio Grande do Sul,2007-06-15,727
102,Rondônia,2007-06-15,500
103,Roraima,2007-06-15,451
104,Santa Catarina,2007-06-15,805
105,São Paulo,2007-06-15,823
106,Sergipe,2007-06-15,423
107,Tocantins,2007-06-15,475
108,Acre,2008-06-15,540
